checkout_id,member_id,book_id,checkout_date,return_date,source,first_name,last_name,grade,neighborhood,membership_status,join_date,title,author,genre_x,pages_x,publication_year_x,publisher_x,genre_y,pages_y,publication_year_y,publisher_y
9263,1047,517,10/21/2024,11/7/2024,Database,Sara,Rashad,,Heliopolis,Inactive,6/25/2024,Shadows on the Corniche,Hani Nagati,Mystery,338,2015,Delta House,Mystery,338,2015,Delta House
9340,1072,513,8/24/2025,9/1/2025,Database,Seif,Zaki,9,Zamalek,Active,10/21/2025,Circuits for Beginners,Galal Mounir,Science,294,2021,Oasis Books,Science,294,2021,Oasis Books
9231,1053,523,2/4/2024,2/16/2024,Database,Adam,Shafik,9,Heliopolis,Active,1/3/2024,Footsteps in the Dust,Laila Shokry,Historical,276,2018,Oasis Books,Historical,276,2018,Oasis Books
9129,1032,513,6/21/2025,6/29/2025,Database,Nada,Zaki,7,Nasr City,Active,10/19/2025,Circuits for Beginners,Galal Mounir,Science,294,2021,Oasis Books,Science,294,2021,Oasis Books
9370,1079,511,11/11/2025,12/3/2025,Database,Rana,Osman,8,Shubra,Active,10/27/2024,Winter in Alexandria,Farida Anwar,Historical,117,2016,Nile Press,Historical,117,2016,Nile Press
9082,1010,528,11/11/2025,11/18/2025,Database,Nour,Nabil,6,Maadi ,Active,5/15/2024,The Glass Beehive,Mona Kholoussy,Nature,114,2010,Delta House,Nature,114,2010,Delta House
9238,1057,513,3/28/2024,4/8/2024,Database,Ahmed,Fahmy,8,Heliopolis,Active,1/12/2024,Circuits for Beginners,Galal Mounir,Science,294,2021,Oasis Books,Science,294,2021,Oasis Books
9012,1010,501,2/17/2025,,Database,Nour,Nabil,6,Maadi ,Active,5/15/2024,The Silver Kite,Amina Darwish,Adventure,128,2017,Nile Press,Adventure,128,2017,Nile Press
9127,1024,506,6/13/2025,,Database,Youssef,Hegazy,8,Nasr City,inactive,1/4/2024,The Paper Boat Club,Aya Hafez,Friendship,183,,Nile Press,Friendship,183,,Nile Press
9020,1016,506,4/15/2024,5/4/2024,Database,Dina,Rashad,8,Maadi,Active,4/24/2023,The Paper Boat Club,Aya Hafez,Friendship,183,,Nile Press,Friendship,183,,Nile Press
9208,1044,525,7/10/2024,8/1/2024,Database,Sherif,Saleh,7,Heliopolis,active,2/19/2024,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015,Oasis Books,Adventure,297,2015,Oasis Books
9319,1065,515,2/10/2025,2/21/2025,Database,Adam,Fahmy,6,Zamalek,Active,7/12/2025,Songs of the Oasis,Hoda Bakry,Poetry,316,2022,Cairo Young Readers,Poetry,316,2022,Cairo Young Readers
9097,1018,501,10/5/2025,10/14/2025,Database,Ahmed,Shafik,9,Maadi,Active,1/28/2023,The Silver Kite,Amina Darwish,Adventure,128,2017,Nile Press,Adventure,128,2017,Nile Press
9137,1041,519,7/27/2025,8/5/2025,Database,Nada,Rashad,7,Nasr City,Active,4/2/2024,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014,Nile Press,Friendship,157,2014,Nile Press
9157,1032,525,3/4/2024,4/3/2024,Database,Nada,Zaki,7,Nasr City,Active,10/19/2025,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015,Oasis Books,Adventure,297,2015,Oasis Books
9383,1070,501,7/11/2024,7/31/2024,Database,Ahmed,Zaki,9,Zamalek,Active,7/22/2025,The Silver Kite,Amina Darwish,Adventure,128,2017,Nile Press,Adventure,128,2017,Nile Press
9131,1034,505,12/16/2025,12/25/2025,Database,Aya,Wahba,9,Nasr City,Active,1/22/2025,Letters to the Nile,Aya Hafez,Historical,216,2024,Oasis Books,Historical,216,2024,Oasis Books
9113,1027,507,6/26/2024,7/8/2024,Database,Mostafa,Fouad,9,Nasr City,Active,9/25/2023,Fossils and Fireflies,Dalia Serry,Science,160,2024,Nile Press,Science,160,2024,Nile Press
9144,1024,501,11/7/2025,11/25/2025,Database,Youssef,Hegazy,8,Nasr City,inactive,1/4/2024,The Silver Kite,Amina Darwish,Adventure,128,2017,Nile Press,Adventure,128,2017,Nile Press
9005,1008,513,4/20/2025,4/29/2025,Database,Ziad,Saleh,8,Maadi,active,10/28/2025,Circuits for Beginners,Galal Mounir,Science,294,2021,Oasis Books,Science,294,2021,Oasis Books
9272,1044,518,1/24/2025,2/4/2025,Database,Sherif,Saleh,7,Heliopolis,active,2/19/2024,The Ninth Lighthouse,Hani Nagati,Adventure,163,2011,Delta House,Adventure,163,2011,Delta House
9283,1072,513,9/17/2025,9/25/2025,Database,Seif,Zaki,9,Zamalek,Active,10/21/2025,Circuits for Beginners,Galal Mounir,Science,294,2021,Oasis Books,Science,294,2021,Oasis Books
9030,1018,507,3/9/2025,,Database,Ahmed,Shafik,9,Maadi,Active,1/28/2023,Fossils and Fireflies,Dalia Serry,Science,160,2024,Nile Press,Science,160,2024,Nile Press
9291,1065,526,3/25/2024,3/31/2024,Database,Adam,Fahmy,6,Zamalek,Active,7/12/2025,The Clockwork Orchard,Mahmoud Rafei,Science Fiction,125,2016,Delta House,Science Fiction,125,2016,Delta House
9369,1076,501,6/5/2025,,Database,Dina,Wahba,7,Shubra,Active,12/13/2025,The Silver Kite,Amina Darwish,Adventure,128,2017,Nile Press,Adventure,128,2017,Nile Press
9225,1059,516,8/6/2025,8/22/2025,Database,Lina,Halim,7,Heliopolis,Active,1/6/2024,The Beekeeper's Almanac,Hoda Bakry,Nature,241,2010,Nile Press,Nature,241,2010,Nile Press
9256,1059,521,7/9/2025,,Database,Lina,Halim,7,Heliopolis,Active,1/6/2024,A Garden of Equations,Karim Elwy,Science,211,2024,Cairo Young Readers,Science,211,2024,Cairo Young Readers
9234,1053,525,2/13/2024,3/6/2024,Database,Adam,Shafik,9,Heliopolis,Active,1/3/2024,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015,Oasis Books,Adventure,297,2015,Oasis Books
9152,1030,525,1/3/2025,,Database,Reem,Osman,,Nasr City,Active,4/1/2025,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015,Oasis Books,Adventure,297,2015,Oasis Books
9063,1018,515,10/22/2024,,Database,Ahmed,Shafik,9,Maadi,Active,1/28/2023,Songs of the Oasis,Hoda Bakry,Poetry,316,2022,Cairo Young Readers,Poetry,316,2022,Cairo Young Readers
9161,1040,519,10/11/2025,11/1/2025,Database,Dina,Adel,9,Nasr City,Active,12/26/2025,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014,Nile Press,Friendship,157,2014,Nile Press
9206,1050,519,3/17/2024,,Database,Fares,Adel,6,Heliopolis,inactive,9/10/2025,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014,Nile Press,Friendship,157,2014,Nile Press
9031,1020,530,12/28/2025,1/5/2026,Database,Rana,Fouad,6,Maadi,Active,12/4/2025,The Sandstone Key,Sara Tantawy,Adventure,208,2012,Oasis Books,Adventure,208,2012,Oasis Books
9189,1032,507,12/8/2025,12/16/2025,Database,Nada,Zaki,7,Nasr City,Active,10/19/2025,Fossils and Fireflies,Dalia Serry,Science,160,2024,Nile Press,Science,160,2024,Nile Press
9288,1065,519,3/20/2025,3/31/2025,Database,Adam,Fahmy,6,Zamalek,Active,7/12/2025,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014,Nile Press,Friendship,157,2014,Nile Press
9236,1052,507,9/2/2024,9/29/2024,Database,Retaj,Adel,7,Heliopolis,Active,6/7/2025,Fossils and Fireflies,Dalia Serry,Science,160,2024,Nile Press,Science,160,2024,Nile Press
9360,1077,520,3/4/2024,3/16/2024,Database,Lina,Rashad,6,Shubra,Active,7/8/2023,The Copper Telescope,Jasmine Wahdan,Science Fiction,136,2009,Oasis Books,Science Fiction,136,2009,Oasis Books
9111,1027,510,9/12/2024,10/3/2024,Database,Mostafa,Fouad,9,Nasr City,Active,9/25/2023,The Missing Metronome,Diaa Sultan,Mystery,134,2013,Cairo Young Readers,Mystery,134,2013,Cairo Young Readers
9342,1068,501,5/28/2025,6/27/2025,Database,Layla,Hegazy,8,Zamalek,Inactive,2/24/2025,The Silver Kite,Amina Darwish,Adventure,128,2017,Nile Press,Adventure,128,2017,Nile Press
9380,1022,513,4/22/2024,4/28/2024,Database,Youssef,Fouad,7,Maadi,Active,2/28/2025,Circuits for Beginners,Galal Mounir,Science,294,2021,Oasis Books,Science,294,2021,Oasis Books
9302,1061,507,6/22/2024,,Database,Ziad,Fahmy,9,zamalek,Inactive,4/27/2023,Fossils and Fireflies,Dalia Serry,Science,160,2024,Nile Press,Science,160,2024,Nile Press
9173,1027,532,3/10/2025,4/6/2025,Database,Mostafa,Fouad,9,Nasr City,Active,9/25/2023,The Last Bookmark,Samir Zohdy,Friendship,337,2017,Oasis Books,Friendship,337,2017,Oasis Books
9019,1014,513,3/6/2024,3/23/2024,Database,Habiba,Nabil,6,Maadi,Active,7/9/2024,Circuits for Beginners,Galal Mounir,Science,294,2021,Oasis Books,Science,294,2021,Oasis Books
9143,1024,518,10/2/2025,,Database,Youssef,Hegazy,8,Nasr City,inactive,1/4/2024,The Ninth Lighthouse,Hani Nagati,Adventure,163,2011,Delta House,Adventure,163,2011,Delta House
9222,1050,505,1/9/2024,2/1/2024,Database,Fares,Adel,6,Heliopolis,inactive,9/10/2025,Letters to the Nile,Aya Hafez,Historical,216,2024,Oasis Books,Historical,216,2024,Oasis Books
9101,1020,532,5/25/2025,6/15/2025,Database,Rana,Fouad,6,Maadi,Active,12/4/2025,The Last Bookmark,Samir Zohdy,Friendship,337,2017,Oasis Books,Friendship,337,2017,Oasis Books
9316,1065,513,8/25/2024,9/17/2024,Database,Adam,Fahmy,6,Zamalek,Active,7/12/2025,Circuits for Beginners,Galal Mounir,Science,294,2021,Oasis Books,Science,294,2021,Oasis Books
