checkout_id,member_id,book_id,checkout_date,return_date,source,first_name,last_name,grade,neighborhood,membership_status,join_date,title,author,genre,pages,publication_year,publisher
9263,1047,517,2024-10-21,2024-11-07,Database,Sara,Rashad,,Heliopolis,Inactive,2024-06-25,Shadows on the Corniche,Hani Nagati,Mystery,338,2015.0,Delta House
9340,1072,513,2025-08-24,2025-09-01,Database,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9231,1053,523,2024-02-04,2024-02-16,Database,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03,Footsteps in the Dust,Laila Shokry,Historical,276,2018.0,Oasis Books
9129,1032,513,2025-06-21,2025-06-29,Database,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9370,1079,511,2025-11-11,2025-12-03,Database,Rana,Osman,8.0,Shubra,Active,2024-10-27,Winter in Alexandria,Farida Anwar,Historical,117,2016.0,Nile Press
9082,1010,528,2025-11-11,2025-11-18,Database,Nour,Nabil,6.0,Maadi,Active,2024-05-15,The Glass Beehive,Mona Kholoussy,Nature,114,2010.0,Delta House
9238,1057,513,2024-03-28,2024-04-08,Database,Ahmed,Fahmy,8.0,Heliopolis,Active,2024-01-12,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9012,1010,501,2025-02-17,,Database,Nour,Nabil,6.0,Maadi,Active,2024-05-15,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9127,1024,506,2025-06-13,,Database,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,The Paper Boat Club,Aya Hafez,Friendship,183,,Nile Press
9020,1016,506,2024-04-15,2024-05-04,Database,Dina,Rashad,8.0,Maadi,Active,2023-04-24,The Paper Boat Club,Aya Hafez,Friendship,183,,Nile Press
9208,1044,525,2024-07-10,2024-08-01,Database,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books
9319,1065,515,2025-02-10,2025-02-21,Database,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,Songs of the Oasis,Hoda Bakry,Poetry,316,2022.0,Cairo Young Readers
9097,1018,501,2025-10-05,2025-10-14,Database,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9137,1041,519,2025-07-27,2025-08-05,Database,Nada,Rashad,7.0,Nasr City,Active,2024-04-02,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press
9157,1032,525,2024-03-04,2024-04-03,Database,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books
9383,1070,501,2024-07-11,2024-07-31,Database,Ahmed,Zaki,9.0,Zamalek,Active,2025-07-22,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9131,1034,505,2025-12-16,2025-12-25,Database,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,Letters to the Nile,Aya Hafez,Historical,216,2024.0,Oasis Books
9113,1027,507,2024-06-26,2024-07-08,Database,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9144,1024,501,2025-11-07,2025-11-25,Database,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9005,1008,513,2025-04-20,2025-04-29,Database,Ziad,Saleh,8.0,Maadi,active,2025-10-28,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9272,1044,518,2025-01-24,2025-02-04,Database,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,The Ninth Lighthouse,Hani Nagati,Adventure,163,2011.0,Delta House
9283,1072,513,2025-09-17,2025-09-25,Database,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9030,1018,507,2025-03-09,,Database,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9291,1065,526,2024-03-25,2024-03-31,Database,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,The Clockwork Orchard,Mahmoud Rafei,Science Fiction,125,2016.0,Delta House
9369,1076,501,2025-06-05,,Database,Dina,Wahba,7.0,Shubra,Active,2025-12-13,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9225,1059,516,2025-08-06,2025-08-22,Database,Lina,Halim,7.0,Heliopolis,Active,2024-01-06,The Beekeeper's Almanac,Hoda Bakry,Nature,241,2010.0,Nile Press
9256,1059,521,2025-07-09,,Database,Lina,Halim,7.0,Heliopolis,Active,2024-01-06,A Garden of Equations,Karim Elwy,Science,211,2024.0,Cairo Young Readers
9234,1053,525,2024-02-13,2024-03-06,Database,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books
9152,1030,525,2025-01-03,,Database,Reem,Osman,,Nasr City,Active,2025-04-01,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books
9063,1018,515,2024-10-22,,Database,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,Songs of the Oasis,Hoda Bakry,Poetry,316,2022.0,Cairo Young Readers
9161,1040,519,2025-10-11,2025-11-01,Database,Dina,Adel,9.0,Nasr City,Active,2025-12-26,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press
9206,1050,519,2024-03-17,,Database,Fares,Adel,6.0,Heliopolis,inactive,2025-09-10,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press
9031,1020,530,2025-12-28,2026-01-05,Database,Rana,Fouad,6.0,Maadi,Active,2025-12-04,The Sandstone Key,Sara Tantawy,Adventure,208,2012.0,Oasis Books
9189,1032,507,2025-12-08,2025-12-16,Database,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9288,1065,519,2025-03-20,2025-03-31,Database,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press
9236,1052,507,2024-09-02,2024-09-29,Database,Retaj,Adel,7.0,Heliopolis,Active,2025-06-07,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9360,1077,520,2024-03-04,2024-03-16,Database,Lina,Rashad,6.0,Shubra,Active,2023-07-08,The Copper Telescope,Jasmine Wahdan,Science Fiction,136,2009.0,Oasis Books
9111,1027,510,2024-09-12,2024-10-03,Database,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,The Missing Metronome,Diaa Sultan,Mystery,134,2013.0,Cairo Young Readers
9342,1068,501,2025-05-28,2025-06-27,Database,Layla,Hegazy,8.0,Zamalek,Inactive,2025-02-24,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9380,1022,513,2024-04-22,2024-04-28,Database,Youssef,Fouad,7.0,Maadi,Active,2025-02-28,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9302,1061,507,2024-06-22,,Database,Ziad,Fahmy,9.0,zamalek,Inactive,2023-04-27,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9173,1027,532,2025-03-10,2025-04-06,Database,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books
9019,1014,513,2024-03-06,2024-03-23,Database,Habiba,Nabil,6.0,Maadi,Active,2024-07-09,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9143,1024,518,2025-10-02,,Database,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,The Ninth Lighthouse,Hani Nagati,Adventure,163,2011.0,Delta House
9222,1050,505,2024-01-09,2024-02-01,Database,Fares,Adel,6.0,Heliopolis,inactive,2025-09-10,Letters to the Nile,Aya Hafez,Historical,216,2024.0,Oasis Books
9101,1020,532,2025-05-25,2025-06-15,Database,Rana,Fouad,6.0,Maadi,Active,2025-12-04,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books
9316,1065,513,2024-08-25,2024-09-17,Database,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9148,1027,532,2025-07-05,2025-07-26,Database,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books
9070,1018,513,2025-01-08,2025-02-01,Database,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9139,1036,521,2024-03-14,2024-03-20,Database,Lina,Zaki,7.0,Nasr City,Active,2025-08-05,A Garden of Equations,Karim Elwy,Science,211,2024.0,Cairo Young Readers
9043,1005,505,2024-01-26,2024-02-04,Database,Youssef,Halim,9.0,Maadi,Active,2024-05-05,Letters to the Nile,Aya Hafez,Historical,216,2024.0,Oasis Books
9187,1034,502,2024-08-11,,Database,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,Desert Compass,Amina Darwish,Adventure,109,2018.0,Delta House
9269,1054,507,2025-01-26,2025-01-31,Database,Retaj,Fahmy,6.0,Heliopolis,Inactive,2024-03-21,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9056,1010,519,2025-07-11,2025-07-27,Database,Nour,Nabil,6.0,Maadi,Active,2024-05-15,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press
9057,1020,519,2025-02-03,,Database,Rana,Fouad,6.0,Maadi,Active,2025-12-04,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press
9140,1034,513,2025-03-06,2025-04-02,Database,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9209,1058,525,2024-11-22,2024-12-12,Database,Lina,Mansour,8.0,Heliopolis,active,2025-07-20,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books
9249,1057,519,2024-10-17,2024-11-03,Database,Ahmed,Fahmy,8.0,Heliopolis,Active,2024-01-12,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press
9058,1006,501,2025-03-18,2025-04-09,Database,Layla,Mansour,6.0,Maadi,Inactive,2024-02-12,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9366,1079,503,2024-06-23,2024-07-23,Database,Rana,Osman,8.0,Shubra,Active,2024-10-27,The Lantern Maker,Adel Roushdy,Historical,259,,Nile Press
9218,1044,532,2025-04-23,2025-05-04,Database,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books
9355,1075,515,2024-11-10,2024-12-02,Database,Malak,Fahmy,7.0,Shubra,Active,2024-10-28,Songs of the Oasis,Hoda Bakry,Poetry,316,2022.0,Cairo Young Readers
9205,1053,525,2024-12-02,2024-12-14,Database,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books
9025,1001,525,2024-10-24,2024-11-07,Database,Salma,Ibrahim,8.0,Maadi,Active,2023-04-05,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books
9124,1024,525,2025-10-14,2025-11-13,Database,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books
9034,1015,511,2025-10-13,,Database,Hamza,Sabry,7.0,Maadi,Inactive,2025-08-13,Winter in Alexandria,Farida Anwar,Historical,117,2016.0,Nile Press
9181,1041,509,2025-03-24,,Database,Nada,Rashad,7.0,Nasr City,Active,2024-04-02,Marbles and Mirrors,Diaa Sultan,Mystery,221,2011.0,Nile Press
9171,1027,507,2025-05-23,2025-06-19,Database,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9318,1067,513,2025-07-23,2025-08-17,Database,Aya,Ibrahim,7.0,Zamalek,Inactive,2024-07-03,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books
9296,1065,501,2024-12-15,2025-01-11,Database,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9348,1075,532,2024-07-28,2024-08-25,Database,Malak,Fahmy,7.0,Shubra,Active,2024-10-28,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books
9141,1027,529,2025-02-09,2025-03-03,Database,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,Riddles of the Red Sea,Sara Tantawy,Mystery,298,,Cairo Young Readers
9094,1022,527,2024-11-22,2024-12-08,Database,Youssef,Fouad,7.0,Maadi,Active,2025-02-28,Notes from the Delta,Mona Kholoussy,Nature,328,2017.0,Delta House
9280,1054,517,2024-09-06,2024-09-15,Database,Retaj,Fahmy,6.0,Heliopolis,Inactive,2024-03-21,Shadows on the Corniche,Hani Nagati,Mystery,338,2015.0,Delta House
9211,1044,507,2025-04-28,2025-05-25,Database,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9294,1067,507,2024-11-26,,Database,Aya,Ibrahim,7.0,Zamalek,Inactive,2024-07-03,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press
9372,1076,519,2025-03-06,2025-04-02,Database,Dina,Wahba,7.0,Shubra,Active,2025-12-13,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press
9112,1031,521,2024-07-28,2024-08-22,Database,Ali,Fahmy,8.0,NASR CITY,Active,2023-09-08,A Garden of Equations,Karim Elwy,Science,211,2024.0,Cairo Young Readers
9001,1008,501,2025-08-23,2025-08-28,Database,Ziad,Saleh,8.0,Maadi,active,2025-10-28,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9328,1070,501,2024-01-28,,Database,Ahmed,Zaki,9.0,Zamalek,Active,2025-07-22,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press
9075,1018,510,2024-07-01,,Database,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,The Missing Metronome,Diaa Sultan,Mystery,134,2013.0,Cairo Young Readers
